title,budget_new,runtime,genres,genres_new,revenue
A Better Tomorrow,22531334,95,Action,3,4469460
A Bigger Splash,22531334,120,Crime,6,1982505
A Bridge Too Far,22000000,175,Drama,1,50750000
A Case of You,22531334,91,Comedy,2,4187
A Chorus Line,22531334,113,Drama,1,14202899
A Cinderella Story,19000000,95,Comedy,2,70067909
A Civil Action,70000000,115,Drama,1,56702901
A Clockwork Orange,2200000,136,Science Fiction,12,26589000
A Coffee in Berlin,300000,88,Comedy,2,2750275
A Company Man,3500000,96,Drama,1,7339398
A Dirty Shame,15000000,89,Comedy,2,1914166
A Dog's Purpose,22000000,100,Comedy,2,194647323
A Farewell to Arms,4,89,Drama,1,25
A Few Best Men,12468389,97,Comedy,2,29007412
A Few Good Men,40000000,138,Drama,1,243240178
A Field in England,22531334,90,Drama,1,32846
A Fine Mess,22531334,90,Comedy,2,6029824
A Goofy Movie,22531334,78,Romance,11,35348597
A Gorgeous Girl Like Me,22531334,98,Comedy,2,457163
A Guy Named Joe,2627000,120,Drama,1,5363000
A Guy Thing,20000000,101,Comedy,2,17432163
A History of Violence,32000000,96,Drama,1,60740827
A Home at the End of the World,6500000,96,Romance,11,1548955
A Kiss Before Dying,22531334,95,Mystery,14,15429177
A Knight's Tale,65000000,132,Adventure,4,117487473
A Little Bit of Heaven,22531334,106,Comedy,2,1296937
A Lonely Place to Die,4000000,99,Adventure,4,25345000
A Lot Like Love,30000000,107,Comedy,2,42886719
A Love Song for Bobby Long,22531334,119,Drama,1,1841260
A Man Apart,36000000,109,Action,3,44350926
A Man for All Seasons,3900000,120,Drama,1,28350000
A Man Who Was Superman,22531334,102,Comedy,2,3848034
A Mighty Heart,16000000,100,Drama,1,18928871
A Mighty Wind,6000000,91,Comedy,2,18750246
A Moment of Innocence,22531334,78,Comedy,2,37598
A Passage to India,8000000,163,Drama,1,27187653
A Patch of Blue,800000,105,Drama,1,6792000
A Perfect World,30000000,138,Crime,6,135130999
A Place Called Chiapas,891000,89,Documentary,9,229000
A Price Above Rubies,22531334,117,Drama,1,1081957
A Prince (almost) Charming,22531334,88,Romance,11,214000
A Rage in Harlem,8000000,115,Crime,6,10400000
A Royal Night Out,22531334,97,Thriller,7,228136
A Scanner Darkly,8700000,100,Animation,8,7659918
A Shot in the Dark,22531334,102,Comedy,2,12368234
A Simple Life,22531334,118,Drama,1,2802459
A Sound of Thunder,80000000,110,Thriller,7,5989640
A Star Is Born,6000000,139,Drama,1,161000000
A Street Cat Named Bob,8000000,103,Drama,1,82703
A Thousand Words,40000000,91,Drama,1,22044277
A Touch of Sin,22531334,133,Drama,1,154120
A Troll in Central Park,23000000,76,Fantasy,10,71368
A View to a Kill,30000000,131,Adventure,4,152427960
A War,22531334,115,Drama,1,1113277
A.P.E.X.,22531334,98,Science Fiction,12,49601
Aadukalam,4000000,160,Action,3,6000000
Aasai,500000,157,Action,3,500000
ABCs of Death 2,22531334,125,Horror,5,7171
Abduction,35000000,106,Thriller,7,82087155
About a Boy,27000000,101,Drama,1,129000000
About Adam,22531334,105,Comedy,2,151559
About Cherry,2500000,102,Drama,1,3003
About Last Night,12500000,100,Comedy,2,49002684
About Schmidt,30000000,125,Drama,1,105834556
About Time,12000000,123,Comedy,2,87100449
Absolute Power,50000000,121,Crime,6,50068310
Absolutely Fabulous: The Movie,22531334,91,Comedy,2,37915971
Accepted,23000000,93,Comedy,2,38505009
Ace in the Hole,1821052,111,Drama,1,1300000
Ace Ventura: Pet Detective,15000000,86,Comedy,2,107217396
Ace Ventura: When Nature Calls,30000000,90,Crime,6,212385533
Across to Singapore,290000,85,Adventure,4,596000
Act of Valor,12000000,110,Action,3,81272766
Action Hero Biju,300000,144,Action,3,2500000
Action Jackson,7000000,96,Action,3,20256975
Admiral,2000000,123,Drama,1,38135878
Admission,13000000,107,Comedy,2,18000000
Adore,16000000,100,Drama,1,318982
Aferim!,1379375,108,Drama,1,105097
African Cats,22531334,89,Documentary,9,15240456
After Earth,130000000,100,Science Fiction,12,243843127
After Hours,4500000,97,Comedy,2,10609321
Aftershock,2000000,89,Horror,5,58510
Against the Ropes,39000000,106,Romance,11,6614280
Agent Cody Banks,28000000,102,Action,3,58795814
Ai Weiwei: Never Sorry,22531334,91,Documentary,9,181107
Ain't Them Bodies Saints,22531334,96,Crime,6,1031243
Air America,22531334,112,Action,3,33461269
Air Bud: Golden Receiver,22531334,90,Comedy,2,10224116
Air Force One,85000000,124,Action,3,315156409
Airborne,2600000,91,Action,3,2850263
Airport,10000000,137,Action,3,100489151
Airport 1975,3000000,107,Action,3,47000000
Akeelah and the Bee,8000000,112,Drama,1,18948425
Alaipayuthey,2000000,156,Romance,11,6000000
Alan Partridge: Alpha Papa,4000000,90,Comedy,2,9800000
Alesha Popovich and Tugarin the Dragon,4000000,72,Animation,8,1730000
Alex Cross,45000000,101,Action,3,30353232
Alexander's Ragtime Band,2000000,106,Drama,1,4000000
Alfie,60000000,103,Comedy,2,13395939
Alice in Wonderland,200000000,108,Family,13,1025491110
Alien,11000000,117,Horror,5,104931801
Alien Nation,16000000,91,Crime,6,32155047
Alien: Resurrection,70000000,109,Science Fiction,12,162000000
Alien³,50000000,114,Science Fiction,12,159773545
Aliens,18500000,137,Horror,5,183316455
Aliens in the Attic,45000000,86,Adventure,4,57881056
All About Eve,1400000,138,Drama,1,63463
All About My Mother,8272296,101,Comedy,2,67872296
All About Steve,15000000,99,Comedy,2,40105542
All About the Benjamins,14000000,95,Action,3,25482931
All at Once,750000,0,Crime,6,3
All Night Long,22531334,87,Comedy,2,10000000
All the King's Men,55000000,125,Drama,1,9450897
All the President's Men,8500000,138,Drama,1,70600000
All The Queen's Men,15000000,99,Action,3,23000
Aloft,8000000,112,Drama,1,53086
Aloha,37000000,105,Drama,1,26250020
Alone in the Dark,20000000,96,Action,3,10442808
Alone in the Dark,20000000,93,Horror,5,8178569
Alone With Her,1000000,78,Crime,6,10018
Along Came a Spider,60000000,104,Crime,6,105178561
Along Came Polly,42000000,90,Comedy,2,171963386
Alpha and Omega,20000000,88,Family,13,39300000
Alpha Dog,22531334,122,Crime,6,15309302
Alvin and the Chipmunks: The Road Chip,22531334,92,Adventure,4,233755553
Always,31000000,122,Fantasy,10,74134790
Always - Sunset on Third Street,22531334,133,Comedy,2,33053559
Amadeus,18000000,160,Drama,1,51973029
Amarkalam,500000,157,Action,3,500000
American Adobo,344,104,Comedy,2,4
American Beauty,15000000,122,Drama,1,356296601
American Buffalo,22531334,88,Drama,1,665450
American Cyborg: Steel Warrior,22531334,94,Action,3,447784
American Dream,22531334,98,Documentary,9,269823
American Flyers,22531334,113,Drama,1,1400000
American History X,20000000,119,Drama,1,23875127
American Honey,22531334,162,Drama,1,1751330
American Hustle,40000000,138,Drama,1,251171807
American Ninja,1000000,95,Action,3,10499694
American Pie,11000000,95,Comedy,2,235483004
American Pie 2,30000000,108,Comedy,2,287553595
American Pop,22531334,96,Animation,8,6000000
American Warships,22531334,90,Action,3,1000000
Amores perros,2000000,154,Drama,1,20908467
An American Werewolf in Paris,22000000,105,Horror,5,26570463
An Education,7500000,100,Drama,1,26096852
An Eye for Beauty,22531334,102,Drama,1,40000
An Ideal Husband,14000000,97,Drama,1,18535191
An Officer and a Gentleman,22531334,124,Drama,1,129795554
Analyze This,80000000,103,Comedy,2,176885658
Anastasia,53000000,94,Animation,8,139804348
And Here's What's Happening to Me,22531334,72,Drama,1,14353
And So It Goes,18000000,94,Comedy,2,25312387
And You Thought Your Parents Were Weird!,22531334,92,Family,13,402539
Angel Eyes,53000000,102,Drama,1,29700000
Angel Heart,17000000,113,Horror,5,17185632
Anger Management,75000000,106,Comedy,2,195745823
Animal House,2700000,109,Comedy,2,141000000
Animal Kingdom,5000000,113,Drama,1,1000000
Anjaana Anjaani,6400000,151,Comedy,2,5900000
Anna Karenina,22531334,130,Drama,1,68929150
Anna Karenina,35000000,108,Drama,1,791830
Annabelle,6500000,99,Horror,5,255273813
Annie,50000000,127,Comedy,2,57059003
Anniyan,22531334,181,Action,3,8500000
Anomalisa,8000000,90,Animation,8,5659286
Anonymous,30000000,130,Drama,1,15395087
Another 48 Hrs.,38000000,95,Thriller,7,153518974
Another Year,8000000,129,Comedy,2,18124262
Anthropoid,9000000,120,History,17,4600000
Antikiller,5000000,113,Action,3,340312
Antitrust,30000000,108,Action,3,18195610
Antwone Fisher,12500000,120,Drama,1,23367586
Any Given Sunday,55000000,163,Drama,1,100230832
Apartment 18,22531334,90,Horror,5,320395
Apocalypse Now,31500000,153,Drama,1,89460381
Apollo 13,52000000,140,Drama,1,355237933
Appaloosa,20000000,115,Drama,1,20211394
Appleseed,10000000,101,Animation,8,1461989
Aquarius,762241,140,Drama,1,285930
Arachnophobia,31000000,103,Comedy,2,53208180
Argo,44500000,120,Drama,1,232324128
Army of Shadows,22531334,145,War,15,741766
Around the World in 80 Days,110000000,120,Action,3,72178895
Arrambam,9200000,157,Action,3,21000000
Arthur 2: On the Rocks,22531334,113,Comedy,2,14681192
Article 99,18000000,100,Comedy,2,6375979
Arundhati,2915739,132,Horror,5,14000000
Ashby,22531334,102,Drama,1,4631
Assault on Precinct 13,30000000,109,Thriller,7,35294470
Assembly,16000000,124,Action,3,34786960
Asterix & Obelix Take on Caesar,22531334,109,Family,13,1644060
Asterix at the Olympic Games,97250400,116,Fantasy,10,132900000
At Play in the Fields of the Lord,36000000,189,Drama,1,1345903
ATL,20000000,105,Drama,1,21170563
Atlantis: The Lost Empire,120000000,95,Animation,8,186053725
Atlas Shrugged Part I,15000000,97,Drama,1,4627375
Atlas Shrugged Part III: Who is John Galt?,5000000,99,Drama,1,846704
Attack Force Z,22531334,93,War,15,88000
Australia,130000000,165,Drama,1,49554002
Avengers: Age of Ultron,280000000,141,Action,3,1405403694
Away We Go,17000000,98,Drama,1,14899417
Ayan,3230939,162,Action,3,18000000
B.A.P.S.,22531334,90,Action,3,7240837
Babe,30000000,89,Fantasy,10,254134910
Baby Driver,34000000,113,Action,3,224511319
Baby Mama,30000000,99,Comedy,2,63833449
Baby's Day Out,50000000,99,Action,3,16671505
Bachelorette,3000000,87,Comedy,2,11947954
Back to 1942,22531334,145,Drama,1,311
Back to the Future Part II,40000000,108,Adventure,4,332000000
Back to the Future Part III,40000000,118,Adventure,4,244527583
Backdraft,75000000,137,Action,3,152368585
Bad Boys,19000000,118,Action,3,141407024
Bad Boys,22531334,104,Crime,6,9190819
Bad Day at Black Rock,1271000,81,Crime,6,3788000
Bad Dreams,4000000,86,Horror,5,9797098
Bad Education,5000000,106,Crime,6,40266982
Bad Words,9500000,88,Comedy,2,7800000
Baggage Claim,8500000,96,Comedy,2,22456509
Bairavaa,22531334,168,Action,3,17000000
Bajirao Mastani,19500000,150,War,15,56000000
Balls of Fury,22531334,90,Comedy,2,41098065
Balto,22531334,78,Family,13,11348324
Band of Outsiders,120000,97,Crime,6,182857
Bandits,75000000,123,Action,3,67631903
Barbara,22531334,105,Drama,1,4129250
Barbarella,9000000,98,Science Fiction,12,2500000
Barbershop,12000000,102,Comedy,2,75781642
Barfi,4437508,155,Drama,1,2804874
Barfly,3000000,100,Comedy,2,3221568
Basic,50000000,98,Action,3,42792561
Basic Instinct,49000000,127,Thriller,7,352927224
Batman & Robin,125000000,125,Action,3,238207122
Batman Begins,150000000,140,Action,3,374218673
Batman Returns,80000000,126,Action,3,280000000
Batman: Assault on Arkham,22531334,75,Thriller,7,4571025
Batman: The Killing Joke,3500000,72,Action,3,3775000
Bats,22531334,91,Horror,5,10
Batteries not Included,22531334,106,Comedy,2,65088797
Battle Beyond the Stars,2000000,104,Science Fiction,12,11000000
Battle for Terra,4000000,85,Action,3,6101046
Battle for the Planet of the Apes,1700000,93,Action,3,8844595
Battle in Heaven,1601792,96,Drama,1,253527
Battle in Seattle,8000000,99,Action,3,908847
Battle: Los Angeles,70000000,116,Action,3,202466756
Battleship Potemkin,22531334,75,Drama,1,45100
Be Cool,53000000,118,Comedy,2,95226116
Beaches,22531334,123,Comedy,2,57041866
Beasts of No Nation,6000000,137,Drama,1,9077700
Beasts of the Southern Wild,1800000,93,Drama,1,21107746
Beauty and the Beast,33000000,112,Fantasy,10,49100000
Beauty and the Beast,160000000,129,Family,13,1262886337
Bedazzled,48000000,93,Fantasy,10,90383208
Bee Season,14000000,104,Drama,1,6856989
Beer for My Horses,22531334,86,Action,3,666045
Beerfest,17500000,110,Comedy,2,19179969
Beethoven,22531334,87,Comedy,2,147214049
Beetle Queen Conquers Tokyo,22531334,90,Documentary,9,10068
Beetlejuice,15000000,92,Fantasy,10,73326666
Before I Disappear,22531334,100,Drama,1,8251
Before I Wake,22531334,97,Drama,1,3295624
Before Midnight,3000000,108,Romance,11,11176469
Before Sunset,2700000,80,Drama,1,15992615
Before the Devil Knows You're Dead,18000000,117,Crime,6,25005257
Before the Fall,4500000,117,Drama,1,3764219
Beginners,3200000,105,Drama,1,5332926
Behind Enemy Lines,40000000,106,Action,3,91753202
Behind the Burly Q,250000,97,Documentary,9,23859
Being Elmo: A Puppeteer's Journey,22531334,80,Documentary,9,286201
Being Flynn,22531334,102,Drama,1,540152
Bel Ami,9000000,102,Romance,11,8303261
Belle,10900000,105,Drama,1,16505460
Bellflower,17000,106,Action,3,101236
Below,22531334,105,Thriller,7,605562
Bend It Like Beckham,3500159,112,Comedy,2,76578641
Beneath the Planet of the Apes,3000000,95,Adventure,4,18999718
Ben-Hur,15000000,212,Action,3,146900000
Ben-Hur,100000000,125,Adventure,4,94061311
Benny & Joon,22531334,98,Comedy,2,23202734
Best Defense,18000000,94,Action,3,19265302
Best Man Down,1500000,90,Comedy,2,1938
Better Living Through Chemistry,5000000,91,Drama,1,75143
Betty Blue,22531334,178,Drama,1,2003822
Beyond,3000000,99,Drama,1,4800080
Beyond the Mat,2053648,102,Documentary,9,500000
Bhaag Milkha Bhaag,4600000,186,History,17,25000000
Big Bully,15000000,90,Comedy,2,2042530
Big Eyes,10000000,105,Drama,1,28883511
Big Fat Liar,15000000,88,Comedy,2,52970014
Big Game,8500000,90,Action,3,7500000
Big Miracle,40000000,107,Adventure,4,24719215
Big Momma's House 2,40000000,99,Comedy,2,138259062
Big Time,22531334,87,Documentary,9,148426
Big Trouble in Little China,25000000,99,Action,3,11000000
Biker Boyz,24000000,110,Action,3,23510601
Bikini Spring Break,500000,87,Comedy,2,500000
Bill & Ted's Excellent Adventure,10000000,90,Adventure,4,40485039
Billy Elliot,5000000,110,Drama,1,110000000
Billy Gardell: Halftime,22531334,60,Comedy,2,60
Billy Madison,10000000,89,Comedy,2,26488734
Biloxi Blues,20000000,106,Comedy,2,51684798
Birdman of Alcatraz,2650000,147,Drama,1,3100000
Birdy,12000000,120,Drama,1,1400000
Bitch Slap,22531334,109,Drama,1,199436
Bitter Moon,5000000,139,Thriller,7,1862805
Biutiful,22531334,148,Drama,1,25147786
Black Dynamite,2900000,90,Action,3,296557
Black Gold,40000000,130,Adventure,4,5446000
Black Sheep,22531334,87,Comedy,2,32
Black Sheep,22531334,87,Horror,5,4947717
Black Snake Moan,15000000,116,Drama,1,10903846
Black Snow,4000000,90,Mystery,14,1440000
Black Swan,13000000,108,Drama,1,327803731
Blade: Trinity,65000000,123,Science Fiction,12,128905366
Blank City,22531334,94,Documentary,9,99303
Blast from the Past,35000000,112,Comedy,2,40263020
Blaze,22531334,117,Drama,1,19131000
Blazing Saddles,2600000,93,Western,18,119500000
Bleed for This,6000000,116,Drama,1,6174491
Blended,40000000,117,Comedy,2,123494610
"Bless Me, Ultima",22531334,106,Drama,1,1553826
Blind Fury,22531334,86,Action,3,2692037
Bliss,3400000,112,Comedy,2,660537
Blood Diamond,100000000,143,Drama,1,170877916
Blood on the Moon,22531334,88,Action,3,88
Blood Work,50000000,110,Crime,6,26199517
"Blood, Guts, Bullets and Octane",7300,87,Action,3,13674
BloodRayne,25000000,95,Action,3,2405420
Bloodsport,1500000,92,Action,3,11806119
Bloody Sunday,22531334,107,Action,3,773228
Blow Dry,22531334,91,Comedy,2,637769
Blow Out,18000000,108,Drama,1,12000000
Blue,22531334,79,Drama,1,1718328
Blues Brothers 2000,28000000,123,Music,16,14051384
"Bodies, Rest & Motion",2500000,95,Drama,1,764083
Body of Evidence,30000000,101,Drama,1,13273595
Body Shots,22531334,106,Drama,1,239894
Bodyguard,130,130,Drama,1,8
Bodyguards and Assassins,23000000,139,Drama,1,5837674
Bombay Velvet,18000000,151,Crime,6,1500000
Boogeyman,20000000,89,Thriller,7,67192859
Bordello of Blood,15000000,87,Horror,5,5600000
Boris - Il film,3347850,108,Comedy,2,1248748
Born into Brothels,350000,85,Documentary,9,3515061
Born to Be Blue,22531334,97,Drama,1,830129
Born to Be Wild,22531334,40,Documentary,9,7732325
Borsalino,22531334,126,Crime,6,3
Bottle Rocket,7000000,91,Comedy,2,560069
Bottle Shock,5000000,110,Comedy,2,4040588
Boulevard,22531334,88,Drama,1,126150
Bounce,35000000,106,Drama,1,36779296
Bound,4500000,108,Crime,6,7011317
Boxing Helena,22531334,107,Drama,1,1796389
Boy A,22531334,100,Crime,6,1200398
Boy Culture,500000,88,Drama,1,220151
Boyhood,4000000,164,Drama,1,44349000
Boys Don't Cry,2000000,118,Crime,6,11540607
Boys Life 2,22531334,74,Drama,1,532654
Boys on the Side,21000000,115,Comedy,2,23450000
Braddock: Missing in Action III,22531334,101,Action,3,6193901
Brain Donors,22531334,92,Comedy,2,918239
Brainscan,22531334,96,Fantasy,10,4352094
Braveheart,72000000,177,Action,3,210000000
Breakdown,36000000,95,Drama,1,50159144
Breaking Away,2300000,100,Drama,1,20000000
Breakout,1000000,96,Action,3,16000000
Breathe In,22531334,98,Drama,1,15000
Breathless,22531334,100,Action,3,19910002
Brick,475000,110,Drama,1,3919254
Bride of Chucky,25000000,89,Horror,5,50671850
Brideshead Revisited,20000000,133,Drama,1,13204291
Bridge of Spies,40000000,141,Thriller,7,165478348
Bridget Jones's Baby,35000000,123,Comedy,2,211952420
Bringing Down the House,20000000,105,Comedy,2,132675402
Brokedown Palace,25000000,100,Drama,1,13000000
Broken City,56000000,109,Thriller,7,19701164
Broken Flowers,10000000,105,Comedy,2,45742101
Brooklyn's Finest,17000000,133,Crime,6,29536299
Buck,22531334,89,Documentary,9,386749
Bull Durham,7000000,108,Comedy,2,50888000
Bunny and the Bull,22531334,101,Comedy,2,81010
Burn,225000,86,Foreign,19,111300
Burnt,20000000,100,Drama,1,36606743
Burnt by the Sun,2800000,135,Drama,1,2616503
Bus 174,22531334,150,Documentary,9,217201
But I'm a Cheerleader,1200000,85,Comedy,2,2600000
Butch Cassidy and the Sundance Kid,6000000,110,History,17,102308889
Butterfly,3000000,96,Drama,1,6000000
Ca$h,7000000,108,Crime,6,46488
Cabin Boy,22531334,80,Comedy,2,3662459
Cabin Fever,1500000,93,Horror,5,30553394
Cabin in the Sky,662141,98,Fantasy,10,1606624
Caché,22531334,117,Mystery,14,36000000
Caddyshack,6000000,98,Comedy,2,39846344
Cameron's Closet,7000000,87,Horror,5,136203
Camille Claudel 1915,3512454,95,Drama,1,115860
Campus Man,22531334,94,Comedy,2,989000
Candy Razors,22531334,95,Crime,6,680224
Can't Hardly Wait,10000000,100,Comedy,2,25605015
Capote,7000000,114,Crime,6,49084830
Captain America: The Winter Soldier,170000000,136,Action,3,714766572
Captain Phillips,55000000,134,Action,3,95000000
Captive,2000000,97,Crime,6,2801508
Capturing the Friedmans,22531334,107,Documentary,9,3117985
"Car 54, Where Are You?",10700000,89,Action,3,1238080
Cargo 200,22531334,89,Thriller,7,121129
Carlos,18000000,338,Crime,6,871279
Carol,11800000,118,Romance,11,40272135
Cars,120000000,117,Animation,8,461983149
Cars 2,200000000,106,Animation,8,559852396
Cars 3,175000000,109,Family,13,350170057
Casablanca,878000,102,Drama,1,10462500
Case 39,27000000,109,Horror,5,29000000
Casino Royale,150000000,144,Adventure,4,599045960
Casino Royale,12000000,131,Adventure,4,41744718
Casshern,6000000,141,Drama,1,1530216
Casual Sex?,22531334,88,Comedy,2,12277096
Cat People,134000,73,Thriller,7,4000000
Catch a Fire,22531334,101,Action,3,4291965
Cats & Dogs,60000000,87,Comedy,2,93375151
Cats Don't Dance,32000000,75,Animation,8,3566637
CB4,22531334,89,Music,16,17953778
Cedar Rapids,22531334,87,Comedy,2,6861102
Cell,22531334,98,Horror,5,1133031
Cell 211,5700000,110,Action,3,19300483
Cellular,25000000,94,Action,3,56422687
Central Station,2900000,113,Drama,1,5596708
Ceremony,22531334,89,Comedy,2,22270
Chain Reaction,50000000,107,Action,3,60209334
Chalet Girl,8000000,96,Comedy,2,1749457
Chandni Chowk To China,10500000,149,Action,3,9400000
Changeling,55000000,141,Crime,6,113020255
Changing Lanes,45000000,89,Action,3,94935764
Chapiteau-Show,2000000,207,Comedy,2,393816
Chappie,49000000,120,Crime,6,104399548
Charlie Countryman,22531334,108,Action,3,11650
Charlie St. Cloud,44000000,99,Drama,1,48190704
Charlotte's Web,85000000,97,Comedy,2,144000000
Chasers,22531334,102,Comedy,2,1596687
Chasing Liberty,23000000,111,Comedy,2,12
Chasing Trane,22531334,99,Documentary,9,393970
Cheetah,5000000,83,Drama,1,8153677
Chennai Express,18000000,141,Romance,11,62000000
Chernobyl Diaries,22531334,88,Horror,5,18112929
Cherry 2000,10000000,99,Science Fiction,12,14000
Child 44,50000000,137,Crime,6,3324330
Children of Heaven,180000,89,Drama,1,900000
Children of the Corn,800000,93,Drama,1,14000000
Child's Play,9000000,87,Horror,5,44196684
Child's Play 2,13000000,84,Drama,1,35763605
Child's Play 3,13000000,90,Thriller,7,20560255
Chill Factor,70000000,101,Action,3,11263966
Chloe,15000000,96,Drama,1,8459458
Chocolat,25000000,121,Comedy,2,152500343
Christopher Columbus: The Discovery,40000000,120,Action,3,8251071
Cinderella Man,88000000,144,Romance,11,108539911
Cinderfella,3000000,91,Comedy,2,7100000
Cinema Paradiso,22531334,124,Drama,1,11990401
Circo,22531334,75,Documentary,9,67821
Cirque du Freak: The Vampire's Assistant,40000000,109,Adventure,4,28169671
Cirque du Soleil: Worlds Away,22531334,91,Fantasy,10,34153101
City of Joy,27000000,132,Drama,1,14683921
City of Life and Death,12000000,132,Drama,1,10652498
City of Men,22531334,106,Drama,1,307076
CJ7,22531334,86,Comedy,2,47301471
Class of 1999,5200000,99,Science Fiction,12,2459895
Clean and Sober,22531334,124,Drama,1,8674093
Cleopatra,31115000,248,Drama,1,71000000
Clerks,27000,92,Comedy,2,3151130
Clerks II,5000000,97,Comedy,2,26888376
Click,82500000,107,Comedy,2,237681299
Clockers,25000000,128,Mystery,14,13071518
Clockstoppers,26000000,94,Adventure,4,38793283
Close My Eyes,22531334,109,Drama,1,135893
Cloud Atlas,102000000,172,Drama,1,130482868
Clouds of Sils Maria,6600000,124,Drama,1,1851517
Club Dread,8500000,104,Comedy,2,5001655
Club Paradise,15000000,96,Comedy,2,12308521
Cobra,22531334,87,Action,3,49042224
Cocaine Cowboys,22531334,118,Action,3,163000
Cocktail,6400000,144,Romance,11,18800000
Cocoon,22531334,117,Comedy,2,85313124
Code Name: Jackal,22531334,107,Action,3,1261947
Coffee and Cigarettes,22531334,96,Comedy,2,7897645
Cohen and Tate,22531334,86,Crime,6,64227
Coherence,22531334,89,Thriller,7,102617
Cold Mountain,79000000,154,Drama,1,173013509
Cold Turkey,22531334,99,Comedy,2,11000000
Colegas,22531334,117,Drama,1,646714
Collateral,65000000,120,Drama,1,217764291
Collateral Beauty,36000000,97,Drama,1,87416021
Collateral Damage,85000000,108,Action,3,78382433
Collide,21500000,98,Thriller,7,4811525
Colombiana,40000000,108,Action,3,60965854
Colors,6000000,120,Action,3,46616067
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",850000,109,Comedy,2,840000
Comedian,22531334,82,Comedy,2,2744253
Coming to America,39000000,116,Comedy,2,288752301
Communion,22531334,103,Drama,1,1919653
Company Business,22531334,98,Action,3,1501785
Compliance,22531334,90,Drama,1,319285
Conan the Destroyer,18000000,103,Adventure,4,100000000
Confessions of a Dangerous Mind,30000000,113,Comedy,2,33013805
Congo,50000000,109,Action,3,152022101
Connie and Carla,20000000,98,Music,16,11341016
Conquest of the Planet of the Apes,1700000,88,Action,3,9700000
Constantine,100000000,121,Drama,1,230884728
Contact,90000000,150,Drama,1,171120329
Control Room,22531334,84,Documentary,9,2586511
Conversations with Other Women,450000,84,Drama,1,973525
Cool Hand Luke,3000000,126,Crime,6,16217773
Cool Runnings,14000000,98,Comedy,2,154864401
Cool World,30000000,102,Animation,8,14110589
Cop Out,30000000,107,Action,3,55583804
Coriolanus,7700000,123,Drama,1,1072602
Corky Romano,11000000,86,Action,3,23978402
Corvette Summer,22531334,105,Action,3,15500000
Country Strong,15000000,117,Drama,1,20529194
Courageous,1000000,129,Drama,1,34522221
Cowboys & Aliens,163000000,119,Action,3,174822325
Cowboys & Angels,2000000,89,Comedy,2,33700
Cowgirls n' Angels,22531334,92,Drama,1,120680
Cradle 2 the Grave,25000000,101,Action,3,56489558
Crank: High Voltage,20000000,96,Action,3,34560577
Crash,6500000,112,Drama,1,98410061
Crazy About Ya,22531334,120,Romance,11,3082901
Crazy Love,22531334,90,Comedy,2,119919
"Crazy, Stupid, Love.",50000000,118,Comedy,2,142851197
Crazy/Beautiful,13000000,99,Drama,1,16929123
Creature from the Black Lagoon,22531334,79,Adventure,4,1300000
